,FIPS,Emp,ind_name
240,08125,,hospital
241,09001,12937.5,hospital
242,09003,17858.75,hospital
243,09005,1422.5,hospital
244,09007,,hospital
245,09009,16125.5,hospital
246,09011,3474.75,hospital
247,09013,1274.75,hospital
248,09015,1227.0,hospital
249,10001,2705.0,hospital
250,10003,16897.25,hospital
251,10005,4517.75,hospital
252,12001,12043.75,hospital
253,12003,,hospital
254,12005,3680.25,hospital
255,12007,,hospital
256,12009,7642.0,hospital
257,12011,29489.0,hospital
258,12013,,hospital
259,12015,2024.0,hospital
260,12017,1308.25,hospital
261,12019,2432.75,hospital
262,12021,5276.25,hospital
263,12023,871.0,hospital
264,12027,,hospital
265,12031,24070.75,hospital
266,12033,8491.5,hospital
267,12035,,hospital
268,12039,,hospital
269,12045,,hospital
270,12051,,hospital
271,12053,2906.0,hospital
272,12055,1704.75,hospital
273,12057,27024.25,hospital
274,12059,,hospital
275,12061,2565.25,hospital
276,12063,,hospital
277,12069,5222.5,hospital
278,12071,11819.25,hospital
279,12073,5818.0,hospital
280,12075,,hospital
281,12077,0.0,hospital
282,12079,,hospital
283,12081,4095.75,hospital
284,12083,4035.75,hospital
285,12085,4674.75,hospital
286,12086,60736.75,hospital
287,12087,839.25,hospital
288,12089,,hospital
289,12091,1862.5,hospital
290,12093,376.5,hospital
291,12095,29505.5,hospital
292,12097,4189.25,hospital
293,12099,22123.25,hospital
294,12101,5779.25,hospital
295,12103,17436.5,hospital
296,12105,9253.0,hospital
297,12107,,hospital
298,12109,1602.0,hospital
299,12111,2961.25,hospital
300,12113,1103.5,hospital
301,12115,9287.25,hospital
302,12117,5329.5,hospital
303,12119,1233.0,hospital
304,12121,,hospital
305,12123,228.5,hospital
306,12125,,hospital
307,12127,8882.75,hospital
308,12131,645.0,hospital
309,12133,274.5,hospital
310,13001,,hospital
311,13005,,hospital
312,13007,,hospital
313,13009,493.5,hospital
314,13013,,hospital
315,13015,655.75,hospital
316,13017,,hospital
317,13019,,hospital
318,13021,7008.0,hospital
319,13023,137.0,hospital
320,13027,,hospital
321,13029,0.0,hospital
322,13031,816.75,hospital
323,13033,,hospital
324,13035,73.75,hospital
325,13037,11.0,hospital
326,13039,,hospital
327,13043,,hospital
328,13045,3273.75,hospital
329,13047,,hospital
330,13051,6125.0,hospital
331,13055,32.75,hospital
332,13057,752.0,hospital
333,13059,1611.75,hospital
334,13063,1739.25,hospital
335,13065,,hospital
336,13067,10185.5,hospital
337,13069,,hospital
338,13071,1387.0,hospital
339,13073,0.0,hospital
340,13075,,hospital
341,13077,2165.25,hospital
342,13081,,hospital
343,13085,0.0,hospital
344,13087,,hospital
345,13089,15567.25,hospital
346,13091,237.75,hospital
347,13093,,hospital
348,13095,3065.75,hospital
349,13097,806.75,hospital
350,13099,,hospital
351,13103,,hospital
352,13105,,hospital
353,13107,374.0,hospital
354,13109,,hospital
355,13111,,hospital
356,13113,1609.5,hospital
357,13115,3861.25,hospital
358,13117,1789.0,hospital
359,13119,314.0,hospital
360,13121,32560.25,hospital
361,13123,128.0,hospital
362,13127,2684.25,hospital
363,13129,1206.5,hospital
364,13131,,hospital
365,13133,180.25,hospital
366,13135,6018.75,hospital
367,13137,584.25,hospital
368,13139,6436.0,hospital
369,13141,,hospital
370,13143,,hospital
371,13145,,hospital
372,13147,,hospital
373,13151,1850.0,hospital
374,13153,2412.25,hospital
375,13155,,hospital
376,13157,,hospital
377,13159,,hospital
378,13161,,hospital
379,13163,,hospital
380,13167,,hospital
381,13173,56.0,hospital
382,13175,725.25,hospital
383,13177,,hospital
384,13179,,hospital
385,13185,2346.5,hospital
386,13187,,hospital
387,13189,,hospital
388,13191,,hospital
389,13193,,hospital
390,13195,,hospital
391,13199,294.0,hospital
392,13201,,hospital
393,13205,116.0,hospital
394,13207,,hospital
395,13209,0.0,hospital
396,13211,,hospital
397,13213,90.0,hospital
398,13215,4945.25,hospital
399,13217,764.5,hospital
400,13219,28.75,hospital
401,13221,,hospital
402,13223,1050.5,hospital
403,13225,,hospital
404,13227,539.0,hospital
405,13231,7.0,hospital
406,13233,201.5,hospital
407,13235,418.75,hospital
408,13237,,hospital
409,13241,,hospital
410,13243,,hospital
411,13245,10198.75,hospital
412,13247,993.75,hospital
413,13251,,hospital
414,13253,,hospital
415,13255,480.75,hospital
416,13257,,hospital
417,13261,,hospital
418,13263,0.0,hospital
419,13267,572.75,hospital
420,13271,4.0,hospital
421,13275,2256.5,hospital
422,13277,1697.25,hospital
423,13279,,hospital
424,13281,,hospital
425,13283,0.0,hospital
426,13285,900.25,hospital
427,13291,625.0,hospital
428,13293,,hospital
429,13295,0.0,hospital
430,13297,483.75,hospital
431,13299,754.5,hospital
432,13303,,hospital
433,13305,,hospital
434,13313,1502.25,hospital
435,13315,,hospital
436,13317,,hospital
437,13321,,hospital
438,15001,2022.5,hospital
439,15003,15908.75,hospital
440,15007,915.25,hospital
441,15009,1520.75,hospital
442,16001,15699.0,hospital
443,16005,1629.25,hospital
444,16007,,hospital
445,16009,,hospital
446,16011,974.25,hospital
447,16017,388.0,hospital
448,16019,1352.0,hospital
449,16021,,hospital
450,16023,,hospital
451,16027,1445.75,hospital
452,16029,,hospital
453,16031,,hospital
454,16035,,hospital
455,16037,,hospital
456,16039,,hospital
457,16041,,hospital
458,16043,,hospital
459,16045,247.25,hospital
460,16047,,hospital
461,16049,,hospital
462,16051,,hospital
463,16053,,hospital
464,16055,2816.0,hospital
465,16057,414.25,hospital
466,16059,,hospital
467,16065,,hospital
468,16067,,hospital
469,16069,854.5,hospital
470,16075,96.5,hospital
471,16079,,hospital
472,16081,,hospital
473,16083,1965.5,hospital
474,16085,,hospital
475,16087,,hospital
476,17001,,hospital
477,17005,,hospital
478,17007,,hospital
479,17011,,hospital
480,17019,4406.5,hospital
481,17021,,hospital
482,17025,,hospital
483,17027,,hospital
484,17029,,hospital
485,17031,127976.5,hospital
486,17033,,hospital
487,17037,1011.5,hospital
488,17039,,hospital
489,17043,18983.75,hospital
490,17045,,hospital
491,17049,,hospital
492,17051,389.0,hospital
493,17053,,hospital
494,17055,168.5,hospital
495,17057,,hospital
496,17061,,hospital
497,17063,,hospital
498,17065,,hospital
499,17067,,hospital
500,17069,,hospital
501,17071,,hospital
502,17073,,hospital
503,17075,,hospital
504,17077,1561.75,hospital
505,17081,1585.5,hospital
506,17083,,hospital
507,17085,,hospital
508,17089,5599.0,hospital
509,17091,5151.5,hospital
510,17093,0.0,hospital
511,17095,865.25,hospital
512,17097,9309.0,hospital
513,17099,1486.0,hospital
514,17101,,hospital
515,17103,,hospital
516,17105,649.25,hospital
517,17107,,hospital
518,17109,,hospital
519,17111,2488.75,hospital
520,17113,1760.5,hospital
521,17115,2880.25,hospital
522,17117,377.0,hospital
523,17119,3682.75,hospital
524,17121,,hospital
525,17125,,hospital
526,17127,,hospital
527,17131,,hospital
528,17135,,hospital
529,17137,,hospital
530,17141,,hospital
531,17143,12059.75,hospital
532,17145,,hospital
533,17147,310.75,hospital
534,17149,,hospital
535,17157,1019.5,hospital
536,17159,,hospital
537,17161,2962.0,hospital
538,17163,3886.0,hospital
539,17165,795.0,hospital
540,17167,7097.5,hospital
541,17169,,hospital
542,17173,,hospital
543,17177,,hospital
544,17179,,hospital
545,17181,,hospital
546,17183,761.25,hospital
547,17185,,hospital
548,17187,,hospital
549,17189,,hospital
550,17191,,hospital
551,17195,,hospital
552,17197,5689.0,hospital
553,17199,1555.75,hospital
554,17201,7350.75,hospital
555,17203,,hospital
556,18001,,hospital
557,18003,13409.5,hospital
558,18005,1845.0,hospital
559,18009,,hospital
560,18011,,hospital
561,18017,,hospital
562,18019,1698.5,hospital
563,18021,,hospital
564,18023,,hospital
565,18027,,hospital
566,18029,,hospital
567,18031,,hospital
568,18033,,hospital
569,18035,,hospital
570,18037,,hospital
571,18039,3951.0,hospital
572,18041,,hospital
573,18043,,hospital
574,18049,,hospital
575,18051,389.25,hospital
576,18053,,hospital
577,18055,,hospital
578,18057,3924.75,hospital
579,18059,,hospital
580,18061,,hospital
581,18063,3129.0,hospital
582,18065,,hospital
583,18067,1114.75,hospital
584,18069,,hospital
585,18071,,hospital
586,18073,,hospital
587,18075,,hospital
588,18077,,hospital
589,18079,,hospital
590,18081,990.75,hospital
591,18083,,hospital
