"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=0,1&geo=vvvvvvvvvvvvo&endsec=k&freq=A&start=2001&end=2021&ctype=map&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Wed Feb 15 2023 09:48:21 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"New Jersey : all sectors","cents per kilowatthour","ELEC.PRICE.NJ-ALL.A",9.36,9.30,9.48,10.29,10.89,11.88,13.01,14.43,14.53,14.68,14.30,13.68,13.69,13.95,13.74,13.38,13.32,13.23,13.42,13.63,14.01
"New Jersey : commercial","cents per kilowatthour","ELEC.PRICE.NJ-COM.A",9.09,8.90,9.11,9.96,10.61,11.62,12.99,14.03,13.84,13.89,13.47,12.78,12.77,13.15,12.79,12.26,12.28,12.21,12.23,12.35,12.69
"New York","cents per kilowatthour","ELEC.PRICE.NY-ALL.A",,,,,,,,,,,,,,,,,,,,,
"New York : all sectors","cents per kilowatthour","ELEC.PRICE.NY-ALL.A",11.55,11.16,12.44,12.55,13.95,15.27,15.22,16.47,15.44,16.41,15.89,15.15,15.44,16.25,15.28,14.47,14.74,14.83,14.34,14.87,16.11
"New York : commercial","cents per kilowatthour","ELEC.PRICE.NY-COM.A",12.87,12.33,12.93,12.98,14.36,15.51,15.92,16.79,15.48,16.31,15.81,15.06,15.35,16.12,15.31,14.45,14.75,14.50,14.06,14.56,16.07
"Pennsylvania","cents per kilowatthour","ELEC.PRICE.PA-ALL.A",,,,,,,,,,,,,,,,,,,,,
"Pennsylvania : all sectors","cents per kilowatthour","ELEC.PRICE.PA-ALL.A",8.01,8.06,8.02,8.00,8.27,8.68,9.08,9.33,9.60,10.31,10.45,9.91,9.81,10.28,10.31,10.19,10.13,10.10,9.81,9.70,9.97
"Pennsylvania : commercial","cents per kilowatthour","ELEC.PRICE.PA-COM.A",8.62,8.50,8.62,8.51,8.50,8.94,9.20,9.39,9.55,10.10,10.03,9.44,9.25,9.73,9.60,9.22,8.98,8.94,8.71,8.50,8.91
"East North Central","cents per kilowatthour","ELEC.PRICE.ENC-ALL.A",,,,,,,,,,,,,,,,,,,,,
"East North Central : all sectors","cents per kilowatthour","ELEC.PRICE.ENC-ALL.A",6.46,6.56,6.53,6.64,6.91,7.45,7.97,8.53,8.91,9.08,9.22,9.27,9.40,9.85,9.89,9.94,10.12,10.17,10.13,10.28,10.69
"East North Central : commercial","cents per kilowatthour","ELEC.PRICE.ENC-COM.A",7.23,7.33,7.22,7.40,7.65,8.15,8.49,9.04,9.21,9.36,9.49,9.46,9.58,10.02,9.95,9.96,10.16,10.19,10.20,10.27,10.66
"Illinois","cents per kilowatthour","ELEC.PRICE.IL-ALL.A",,,,,,,,,,,,,,,,,,,,,
"Illinois : all sectors","cents per kilowatthour","ELEC.PRICE.IL-ALL.A",6.90,6.94,6.86,6.80,6.95,7.07,8.46,9.23,9.15,9.13,8.97,8.40,8.26,9.36,9.40,9.38,9.49,9.60,9.56,9.75,10.14
"Illinois : commercial","cents per kilowatthour","ELEC.PRICE.IL-COM.A",7.40,7.52,7.30,7.54,7.75,7.95,8.57,9.25,9.04,8.88,8.64,7.99,8.14,9.26,9.02,9.02,9.09,9.12,9.08,9.15,9.65
"Indiana","cents per kilowatthour","ELEC.PRICE.IN-ALL.A",,,,,,,,,,,,,,,,,,,,,
"Indiana : all sectors","cents per kilowatthour","ELEC.PRICE.IN-ALL.A",5.30,5.34,5.37,5.58,5.88,6.46,6.50,7.09,7.62,7.67,8.01,8.29,8.73,9.06,8.99,9.22,9.77,9.75,9.91,9.92,10.36
"Indiana : commercial","cents per kilowatthour","ELEC.PRICE.IN-COM.A",5.29,5.98,6.12,6.31,6.57,7.21,7.29,7.82,8.32,8.38,8.77,9.14,9.60,9.96,9.78,10.01,10.54,10.60,11.03,11.21,11.58
"Michigan","cents per kilowatthour","ELEC.PRICE.MI-ALL.A",,,,,,,,,,,,,,,,,,,,,
"Michigan : all sectors","cents per kilowatthour","ELEC.PRICE.MI-ALL.A",6.97,7.09,6.85,6.94,7.23,8.14,8.53,8.93,9.40,9.88,10.40,10.98,11.21,11.03,10.76,11.05,11.28,11.40,11.56,12.21,12.93
"Michigan : commercial","cents per kilowatthour","ELEC.PRICE.MI-COM.A",7.54,7.79,7.55,7.57,7.84,8.51,8.77,9.17,9.24,9.81,10.33,10.93,11.06,10.87,10.55,10.64,11.00,11.15,11.39,11.71,12.31
"Ohio","cents per kilowatthour","ELEC.PRICE.OH-ALL.A",,,,,,,,,,,,,,,,,,,,,
"Ohio : all sectors","cents per kilowatthour","ELEC.PRICE.OH-ALL.A",6.62,6.77,6.73,6.89,7.08,7.71,7.91,8.39,9.02,9.14,9.03,9.12,9.20,9.73,9.98,9.84,9.84,9.94,9.58,9.44,9.76
"Ohio : commercial","cents per kilowatthour","ELEC.PRICE.OH-COM.A",8.46,7.81,7.55,7.75,7.93,8.44,8.67,9.23,9.65,9.73,9.63,9.47,9.35,9.83,10.07,9.97,10.05,10.11,9.72,9.53,9.75
"Wisconsin","cents per kilowatthour","ELEC.PRICE.WI-ALL.A",,,,,,,,,,,,,,,,,,,,,
"Wisconsin : all sectors","cents per kilowatthour","ELEC.PRICE.WI-ALL.A",6.08,6.28,6.64,6.88,7.48,8.13,8.48,9.00,9.38,9.78,10.21,10.28,10.51,10.57,10.73,10.67,10.76,10.58,10.66,10.82,11.01
"Wisconsin : commercial","cents per kilowatthour","ELEC.PRICE.WI-COM.A",6.34,6.54,6.97,7.24,7.67,8.37,8.71,9.28,9.57,9.98,10.42,10.51,10.74,10.77,10.89,10.77,10.87,10.67,10.72,10.75,10.95
"West North Central","cents per kilowatthour","ELEC.PRICE.WNC-ALL.A",,,,,,,,,,,,,,,,,,,,,
"West North Central : all sectors","cents per kilowatthour","ELEC.PRICE.WNC-ALL.A",5.99,5.96,6.03,6.17,6.37,6.65,6.83,7.13,7.57,7.93,8.26,8.54,8.98,9.12,9.29,9.59,9.77,9.81,9.69,9.69,9.90
"West North Central : commercial","cents per kilowatthour","ELEC.PRICE.WNC-COM.A",6.05,6.01,6.02,6.16,6.33,6.62,6.79,7.13,7.43,7.87,8.23,8.48,8.98,9.25,9.27,9.54,9.81,9.79,9.66,9.65,9.97
"Iowa","cents per kilowatthour","ELEC.PRICE.IA-ALL.A",,,,,,,,,,,,,,,,,,,,,
"Iowa : all sectors","cents per kilowatthour","ELEC.PRICE.IA-ALL.A",6.14,6.01,6.11,6.40,6.69,7.01,6.83,6.89,7.37,7.66,7.56,7.71,8.07,8.15,8.35,8.55,8.73,8.92,9.08,8.97,9.13
"Iowa : commercial","cents per kilowatthour","ELEC.PRICE.IA-COM.A",6.69,6.56,6.24,6.75,6.95,7.29,7.11,7.18,7.55,7.91,7.85,8.01,8.44,8.67,8.92,9.17,9.46,9.68,9.99,9.96,10.17
"Kansas","cents per kilowatthour","ELEC.PRICE.KS-ALL.A",,,,,,,,,,,,,,,,,,,,,
"Kansas : all sectors","cents per kilowatthour","ELEC.PRICE.KS-ALL.A",6.24,6.31,6.35,6.37,6.55,6.89,6.84,7.45,7.98,8.35,8.89,9.33,9.72,10.16,10.14,10.49,10.60,10.72,10.26,10.38,10.47
"Kansas : commercial","cents per kilowatthour","ELEC.PRICE.KS-COM.A",6.20,6.28,6.42,6.45,6.60,6.96,6.83,7.44,7.87,8.25,8.78,9.24,9.68,10.13,10.10,10.47,10.59,10.66,10.29,10.40,10.52
"Minnesota","cents per kilowatthour","ELEC.PRICE.MN-ALL.A",,,,,,,,,,,,,,,,,,,,,
"Minnesota : all sectors","cents per kilowatthour","ELEC.PRICE.MN-ALL.A",5.97,5.80,6.01,6.24,6.61,6.98,7.44,7.79,8.14,8.41,8.65,8.86,9.41,9.52,9.53,9.99,10.27,10.37,10.33,10.57,11.08
"Minnesota : commercial","cents per kilowatthour","ELEC.PRICE.MN-COM.A",6.03,5.88,6.12,6.31,6.59,7.02,7.48,7.88,7.92,8.38,8.63,8.84,9.42,9.85,9.44,9.86,10.48,10.38,10.34,10.43,11.22
"Missouri","cents per kilowatthour","ELEC.PRICE.MO-ALL.A",,,,,,,,,,,,,,,,,,,,,
"Missouri : all sectors","cents per kilowatthour","ELEC.PRICE.MO-ALL.A",6.03,6.09,6.02,6.07,6.13,6.30,6.56,6.84,7.35,7.78,8.32,8.53,9.04,9.11,9.44,9.74,10.03,9.93,9.68,9.64,9.85
