"Coal shipments to the electric power sector: price, by plant state"
"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=g0fvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.ME-TOT.A&freq=A&start=2015&end=2021&ctype=map&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Tue Feb 14 2023 17:01:25 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2015","2016","2017","2018","2019","2020","2021"
"All coal : West South Central",,"COAL.SHIP_PLANT_PRICE.WSC-TOT.A",,,,,,,
"All coal : Arkansas","$/short ton","COAL.SHIP_PLANT_PRICE.AR-TOT.A",38.79,37.09,35.11,34.27,34.13,33.08,36.60
"All coal : Louisiana","$/short ton","COAL.SHIP_PLANT_PRICE.LA-TOT.A",44.57,43.75,43.81,47.60,49.02,66.92,82.62
"All coal : Oklahoma","$/short ton","COAL.SHIP_PLANT_PRICE.OK-TOT.A",34.13,33.20,32.12,31.08,29.73,27.49,30.15
"All coal : Texas","$/short ton","COAL.SHIP_PLANT_PRICE.TX-TOT.A",30.55,27.50,27.17,27.35,26.91,26.90,29.47
"All coal : Mountain",,"COAL.SHIP_PLANT_PRICE.MTN-TOT.A",,,,,,,
"All coal : Arizona","$/short ton","COAL.SHIP_PLANT_PRICE.AZ-TOT.A",39.61,41.48,43.39,47.42,48.95,38.82,41.87
"All coal : Colorado","$/short ton","COAL.SHIP_PLANT_PRICE.CO-TOT.A",34.62,34.78,32.92,30.04,32.38,31.73,29.69
"All coal : Idaho","$/short ton","COAL.SHIP_PLANT_PRICE.ID-TOT.A","--","--","--","--","--","--","--"
"All coal : Montana","$/short ton","COAL.SHIP_PLANT_PRICE.MT-TOT.A",23.24,25.62,25.31,22.83,23.40,26.62,27.91
"All coal : Nevada","$/short ton","COAL.SHIP_PLANT_PRICE.NV-TOT.A",48.83,46.20,45.48,51.60,52.66,47.07,48.17
"All coal : New Mexico","$/short ton","COAL.SHIP_PLANT_PRICE.NM-TOT.A",42.33,35.19,36.93,46.33,45.84,47.52,49.09
"All coal : Utah","$/short ton","COAL.SHIP_PLANT_PRICE.UT-TOT.A",42.37,42.19,42.18,44.01,43.18,44.99,43.93
"All coal : Wyoming","$/short ton","COAL.SHIP_PLANT_PRICE.WY-TOT.A",28.18,29.86,28.72,29.12,28.10,29.43,30.86
"All coal : Pacific Contiguous",,"COAL.SHIP_PLANT_PRICE.PCC-TOT.A",,,,,,,
"All coal : California","$/short ton","COAL.SHIP_PLANT_PRICE.CA-TOT.A","--","--","--","--","--","--","--"
"All coal : Oregon","$/short ton","COAL.SHIP_PLANT_PRICE.OR-TOT.A",41.12,38.90,40.14,40.44,39.57,37.61,"--"
"All coal : Washington","$/short ton","COAL.SHIP_PLANT_PRICE.WA-TOT.A",36.80,36.73,36.82,36.80,36.89,36.86,36.84
"All coal : Pacific Noncontiguous",,"COAL.SHIP_PLANT_PRICE.PCN-TOT.A",,,,,,,
"All coal : Alaska","$/short ton","COAL.SHIP_PLANT_PRICE.AK-TOT.A",47.16,44.11,43.44,46.75,50.48,49.26,49.19
"All coal : Hawaii","$/short ton","COAL.SHIP_PLANT_PRICE.HI-TOT.A",77.03,70.13,76.74,93.53,76.76,80.33,82.48
