"Price"
"https://www.eia.gov/coal/data/browser/#/topic/23?agg=1,0&geo=vvvvvvvvvvvvo&sec=gs&freq=A&start=2015&end=2021&ctype=map&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Tue Feb 14 2023 17:29:19 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2015","2016","2017","2018","2019","2020","2021"
"Commercial and institutional : United States","$/short ton","COAL.COST.US-8.A",85.70,81.06,82.97,83.86,86.34,84.52,83.00
"Commercial and institutional : New England","$/short ton","COAL.COST.NEW-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : Connecticut","$/short ton","COAL.COST.CT-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : Maine","$/short ton","COAL.COST.ME-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : Massachusetts","$/short ton","COAL.COST.MA-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : New Hampshire","$/short ton","COAL.COST.NH-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : Rhode Island","$/short ton","COAL.COST.RI-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : Vermont","$/short ton","COAL.COST.VT-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : Middle Atlantic","$/short ton","COAL.COST.MAT-8.A",117.09,117.41,119.40,105.17,112.96,129.33,124.33
"Commercial and institutional : New Jersey","$/short ton","COAL.COST.NJ-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : New York","$/short ton","COAL.COST.NY-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : Pennsylvania","$/short ton","COAL.COST.PA-8.A",117.09,117.41,119.40,105.17,112.96,129.33,124.33
"Commercial and institutional : East North Central","$/short ton","COAL.COST.ENC-8.A",83.21,75.31,66.85,66.83,69.11,65.44,53.86
"Commercial and institutional : Illinois","$/short ton","COAL.COST.IL-8.A",56.48,53.39,"W","W","W","W","W"
"Commercial and institutional : Indiana","$/short ton","COAL.COST.IN-8.A","W","W","W","W","W","W","W"
"Commercial and institutional : Michigan","$/short ton","COAL.COST.MI-8.A","W","--","--","--","--","--","--"
"Commercial and institutional : Ohio","$/short ton","COAL.COST.OH-8.A",115.19,"W","--","--","--","--","--"
"Commercial and institutional : Wisconsin","$/short ton","COAL.COST.WI-8.A",128.25,154.08,153.92,154.28,157.23,159.13,"--"
"Commercial and institutional : West North Central","$/short ton","COAL.COST.WNC-8.A",77.62,71.96,77.97,79.36,81.03,82.38,81.58
"Commercial and institutional : Iowa","$/short ton","COAL.COST.IA-8.A","W","W","W","W","W","W","W"
"Commercial and institutional : Kansas","$/short ton","COAL.COST.KS-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : Minnesota","$/short ton","COAL.COST.MN-8.A","W","W","W","W","W","W","W"
"Commercial and institutional : Missouri","$/short ton","COAL.COST.MO-8.A","W","W","W","W","W","W","W"
"Commercial and institutional : Nebraska","$/short ton","COAL.COST.NE-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : North Dakota","$/short ton","COAL.COST.ND-8.A",56.11,"W","W","W","W","W","W"
"Commercial and institutional : South Dakota","$/short ton","COAL.COST.SD-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : South Atlantic","$/short ton","COAL.COST.SAT-8.A",109.10,100.45,108.52,123.18,132.55,117.90,122.13
"Commercial and institutional : Delaware","$/short ton","COAL.COST.DE-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : District Of Columbia","$/short ton","COAL.COST.DC-8.A","W","W","W","--","--","--","--"
"Commercial and institutional : Florida","$/short ton","COAL.COST.FL-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : Georgia","$/short ton","COAL.COST.GA-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : Maryland","$/short ton","COAL.COST.MD-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : North Carolina","$/short ton","COAL.COST.NC-8.A","W","W","W","W","W","W","W"
"Commercial and institutional : South Carolina","$/short ton","COAL.COST.SC-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : Virginia","$/short ton","COAL.COST.VA-8.A",88.12,91.40,107.58,"W","W","W","W"
"Commercial and institutional : West Virginia","$/short ton","COAL.COST.WV-8.A","--","--","--","--","--","--","--"
