,FIPS,NERC Region
349,17027,SERC
350,17031,RFC
351,17039,SERC
352,17043,RFC
353,17049,SERC
354,17051,SERC
355,17053,SERC
356,17057,SERC
357,17063,RFC
358,17065,SERC
359,17073,MRO
360,17077,SERC
361,17079,SERC
362,17089,RFC
363,17093,RFC
364,17097,RFC
365,17099,RFC
366,17103,RFC
367,17109,SERC
368,17115,SERC
369,17119,SERC
370,17121,SERC
371,17125,SERC
372,17127,SERC
373,17133,SERC
374,17135,SERC
375,17139,SERC
376,17141,RFC
377,17143,SERC
378,17145,SERC
379,17147,SERC
380,17149,SERC
381,17155,SERC
382,17157,SERC
383,17161,RFC
384,17163,SERC
385,17167,SERC
386,17171,SERC
387,17173,SERC
388,17179,RFC
389,17183,SERC
390,17191,SERC
391,17193,SERC
392,17195,RFC
393,17197,RFC
394,17199,SERC
395,17201,RFC
396,18029,RFC
397,18043,RFC
398,18051,RFC
399,18055,RFC
400,18057,RFC
401,18065,RFC
402,18073,RFC
403,18077,RFC
404,18081,RFC
405,18083,RFC
406,18089,RFC
407,18091,RFC
408,18093,RFC
409,18095,RFC
410,18097,RFC
411,18109,RFC
412,18125,RFC
413,18127,RFC
414,18129,RFC
415,18141,RFC
416,18147,RFC
417,18153,RFC
418,18157,RFC
419,18165,RFC
420,18167,RFC
421,18173,RFC
422,18177,RFC
423,18179,RFC
424,19001,MRO
425,19003,MRO
426,19005,MRO
427,19009,MRO
428,19011,MRO
429,19013,MRO
430,19015,MRO
431,19017,MRO
432,19021,MRO
433,19027,MRO
434,19029,MRO
435,19031,MRO
436,19033,MRO
437,19037,MRO
438,19041,MRO
439,19043,MRO
440,19047,MRO
441,19051,MRO
442,19053,MRO
443,19055,MRO
444,19057,MRO
445,19059,MRO
446,19061,MRO
447,19063,MRO
448,19067,MRO
449,19073,MRO
450,19075,MRO
451,19077,MRO
452,19079,MRO
453,19087,MRO
454,19089,MRO
455,19095,MRO
456,19097,MRO
457,19103,MRO
458,19109,MRO
459,19113,MRO
460,19115,MRO
461,19119,MRO
462,19121,MRO
463,19125,MRO
464,19127,MRO
465,19131,MRO
466,19137,MRO
467,19139,MRO
468,19143,MRO
469,19145,MRO
470,19147,MRO
471,19151,MRO
472,19153,MRO
473,19155,MRO
474,19157,MRO
475,19163,MRO
476,19169,MRO
477,19171,MRO
478,19173,MRO
479,19175,MRO
480,19179,MRO
481,19181,MRO
482,19187,MRO
483,19189,MRO
484,19193,MRO
485,19197,MRO
486,20001,MRO
487,20009,MRO
488,20015,MRO
489,20021,MRO
490,20023,MRO
491,20025,MRO
492,20027,MRO
493,20031,MRO
494,20035,MRO
495,20037,MRO
496,20039,MRO
497,20045,MRO
498,20051,MRO
499,20055,MRO
500,20057,MRO
501,20059,MRO
502,20065,MRO
503,20067,MRO
504,20077,MRO
505,20083,MRO
506,20085,MRO
507,20091,MRO
508,20095,MRO
509,20105,MRO
510,20107,MRO
511,20111,MRO
512,20113,MRO
513,20119,MRO
514,20121,MRO
515,20123,MRO
516,20125,MRO
517,20131,MRO
518,20133,MRO
519,20139,MRO
520,20141,MRO
521,20143,MRO
522,20145,MRO
523,20149,MRO
524,20151,MRO
525,20155,MRO
526,20157,MRO
527,20159,MRO
528,20163,MRO
