,County,State,FIPS,TotalOil (bbl),TotalGas (mcf),em_gas_county (lbCO2e),em_oil_county (lbCO2e),em_total_county (lbCO2e),annual_avg_emplvl
741,TUSCARAWAS,OH,39157,66573.00009,2524165.998519196,314466153.26071817,64127679.290933825,378593832.6,256.75
742,TUSCOLA,MI,26157,16409,0,0,15806274.13506868,15806274.13506868,
743,TYLER,TX,48457,1192569,8052371,959973876.8,1144835899.0527267,2104809775.9000268,
744,TYLER,WV,54095,3757188,597560316,75769781606,3630344645,79400126251,
745,UINTA,WY,56041,271119,14846841,1860043419,262125138.88251138,2122168557.7286115,46.75
746,UINTAH,UT,49047,9184399,146852994,17849878623.604202,8879723897.725348,26729602521.32955,170.25
747,UNION,AR,05139,276936,3425260,406748597.4,270130311.3716404,676878908.7936404,99
748,UNION,LA,22111,127522,323205488,38493660499,124388153.09939599,38618048652,5.5
749,UNION,NM,35059,0,31698266,3801135605.3092003,0,3801135605.3092003,
750,UPSHUR,TX,48459,208415,20028491,2387722592,195200784.50070277,2582923376.104003,31.5
751,UPSHUR,WV,54097,6637,9938495,1260186755,6412933.664458325,1266599688.8467083,40
752,UPTON,TX,48461,104720606.6,360191794.4,42940733014.436935,98080966162.15472,141021699176.59167,270.75
753,VAL VERDE,TX,48465,547,2825831,336885116.2,512318.3509914566,337397434.5962914,
754,VALLEY,MT,30105,20647,587781,73501308.71,19962074.743958235,93463383.45675823,
755,VAN BUREN,AR,05141,0,61515308,7304924370,0,7304924370,
756,VAN ZANDT,TX,48467,528827,1882988,224482862.3,495297580.6211316,719780442.9255316,16.25
757,VENANGO,PA,42121,136.0000600000001,0,0,131408.67306649886,131408.67306649886,21.666666666666668
758,VERMILION,LA,22113,3830581.938,30011354.571429998,3574341825.483213,3702866938.226393,7277208763.709606,
759,VERNON,LA,22115,148202,785753,93582907.29,143260813.87445268,236843721.16090268,
760,VICTORIA,TX,48469,1244524,3847870,458728824.3,1194711377.230748,1653440201.5117478,222
761,VINTON,OH,39163,10254.00002,61555.99989,7668781.889508417,9877356.037520202,17546137.92702862,
762,WABAUNSEE,KS,20197,26794.54,0,0,25196596.849454083,25196596.849454083,
763,WAGONER,OK,40145,5843,2373,285391.57395000005,5494541.626441812,5779933.200391812,
764,WALKER,AL,01127,0,1718020,206619651,0,206619651,
