,FIPS,County,FIPSTATE,State,NERC,sector,Emp,rho_eff_min,rho_eff_max,rho_eff_avg,burden_min,burden_max,burden_avg,tonCO2e_eff_min,tonCO2e_eff_max,tonCO2e_eff_avg,tonCO2e_eff_min_emp,burden_min_emp,tonCO2e_eff_max_emp,burden_max_emp,tonCO2e_eff_avg_emp,burden_avg_emp,tonCO2e_eff_min_log10,tonCO2e_eff_percapita_min,tonCO2e_eff_percapita_min_log10,lbCO2e_eff_percapita_min,lbCO2e_eff_percapita_min_log10,tonCO2e_eff_peremp_min,tonCO2e_eff_peremp_min_log10,burden_min_log10,burden_percapita_min,burden_percapita_min_log10,burden_peremp_min,burden_peremp_min_log10,tonCO2e_eff_max_log10,tonCO2e_eff_percapita_max,tonCO2e_eff_percapita_max_log10,lbCO2e_eff_percapita_max,lbCO2e_eff_percapita_max_log10,tonCO2e_eff_peremp_max,tonCO2e_eff_peremp_max_log10,burden_max_log10,burden_percapita_max,burden_percapita_max_log10,burden_peremp_max,burden_peremp_max_log10,tonCO2e_eff_avg_log10,tonCO2e_eff_percapita_avg,tonCO2e_eff_percapita_avg_log10,lbCO2e_eff_percapita_avg,lbCO2e_eff_percapita_avg_log10,tonCO2e_eff_peremp_avg,tonCO2e_eff_peremp_avg_log10,burden_avg_log10,burden_percapita_avg,burden_percapita_avg_log10,burden_peremp_avg,burden_peremp_avg_log10,tonneCO2e_eff_peremp_avg,tonneCO2e_eff_peremp_avg_log10,ECF_std_dev,NAME,POP,MIG_EU,MIG_EU_N,MIG_EU_W,MIG_EU_S,MIG_EU_E,MIG_AS,MIG_AS_E,MIG_AS_SC,MIG_AS_SE,MIG_AS_W,MIG_AFR,MIG_AFR_E,MIG_AFR_M,MIG_AFR_N,MIG_AFR_S,MIG_AFR_W,MIG_OC,MIG_LA,MIG_LA_CAR,MIG_LA_CAM,MIG_LA_CAM_MX,MIG_LA_SAM,MIG_NA,MIG_WHITE_NOLATIN,ED_LESSHS,ED_HS,ED_SOMECOLLEGE,ED_BACH,ED_GRAD,MIG_TOT,POV_TOT,POV_MIG,HH_INC_TOT,HH_INC_BELOW_10000,HH_INC_10000_TO_14999,HH_INC_15000_TO_19999,HH_INC_20000_TO_24999,HH_INC_25000_TO_29999,HH_INC_30000_TO_34999,HH_INC_35000_TO_39999,HH_INC_40000_TO_44999,HH_INC_45000_TO_49999,HH_INC_50000_TO_59999,HH_INC_60000_TO_74999,HH_INC_75000_TO_99999,HH_INC_100000_TO_124999,HH_INC_125000_TO_149999,HH_INC_150000_TO_199999,HH_INC_ABOVE_200000,HH_INC_MEDIAN,LBR,EMP,UNEMP,INC_IND_TOT,INC_IND_AG,INC_IND_MN,INC_IND_CN,INC_IND_MF,INC_IND_WHOLESALE,INC_IND_RETAIL,INC_IND_TRANSPORT,INC_IND_UTILITIES,INC_IND_IT,INC_IND_FINANCE,INC_IND_REALESTATE,INC_IND_PROFSERVICES,INC_IND_MNGMNT,INC_IND_ADMIN,INC_IND_ED,INC_IND_HEALTH,INC_IND_ART,INC_IND_ACCOM,INC_IND_OTHER,INC_IND_PUBLIC,EMP_IND_TOT,EMP_IND_AG,EMP_IND_MN,EMP_IND_CN,EMP_IND_MF,EMP_IND_WHOLESALE,EMP_IND_RETAIL,EMP_IND_TRANSPORT,EMP_IND_UTILITIES,EMP_IND_IT,EMP_IND_FINANCE,EMP_IND_REALESTATE,EMP_IND_PROFSERVICES,EMP_IND_MNGMNT,EMP_IND_ADMIN,EMP_IND_ED,EMP_IND_HEALTH,EMP_IND_ART,EMP_IND_ACCOM,EMP_IND_OTHER,EMP_IND_PUBLIC,RACE_WHITE,RACE_BLACK,RACE_NATAMERICAN,RACE_ASIAN,RACE_HAWAII_PACISLAND,RACE_OTHER,ETHN_LATIN,ETHN_NOLATIN,RACE_NOLATIN_WHITE,RACE_PERCENT_MINORITY,RACE_PERCENT_MINORITY_log10,ED_PERCENT_HSORLESS,ED_PERCENT_TERTIARY,UNEMP_RATE,POV_RATE,MIG_PERCENT,MIG_TOT_log10,MIG_PERCENT_log10,land_area_sq_mi,pop_per_sqmi,pop_per_sqmi_log10,POP_log10
6285,02261,valdez cordova,02,AK,ASCC,comm,,0.6847548118467869,0.8455825238029396,0.7651686678248631,595478.7688214058,735338.3013885781,665408.535104992,2843.209971124781,3510.9919952242785,3177.1009831745296,0.0,0.0,0.0,0.0,0.0,0.0,3.4538089335327222,0.3102586175387146,-0.5082761469846376,620.5172350774293,2.7927538486793435,,,5.774866281774999,64.98022357282909,1.81278120125764,,,3.545429839310441,0.3831287642104188,-0.4166552412069183,766.2575284208377,2.884374754457063,,,5.866487187552719,80.2420669345895,1.904402107035359,,,3.5020310189626445,0.3466936908745667,-0.4600540615547153,693.3873817491335,2.8409759341092657,,,5.823088367204922,72.6111452537093,1.8610032866875617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34239.88,,,
7834,31007,banner,31,NE,MRO,comm,,0.6525408482345907,0.8101135029612989,0.7313271755979448,34165.75761732954,42415.9524412656,38290.85502929757,163.1299515864987,202.52184499281464,182.82589828965664,0.0,0.0,0.0,0.0,0.0,0.0,2.2125337072972577,0.2234656871047927,-0.6507891528231984,446.93137420958544,2.6502408428407827,,,4.533591055539535,46.80240769497197,1.6702681954190788,,,2.3064718751958853,0.2774271849216639,-0.5568509849245706,554.8543698433278,2.7441790107394106,,,4.627529223438162,58.10404444008986,1.7642063633177063,,,2.2620377159471405,0.2504464360132283,-0.6012851441733155,500.8928720264566,2.699744851490666,,,4.5830950641894175,52.45322606753092,1.7197722040689618,,,,,,"Banner County, Nebraska",645.0,2.0,0.0,0.0,0.0,2.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,0.0,5.0,7.0,13.0,111.0,217.0,85.0,39.0,30.0,22.0,0.0,234.0,12.0,0.0,10.0,7.0,2.0,10.0,32.0,18.0,17.0,27.0,24.0,25.0,16.0,12.0,10.0,12.0,53864.0,330.0,325.0,5.0,35083.0,33125.0,,30833.0,21429.0,45500.0,19375.0,,145313.0,,73750.0,,,,,39167.0,21750.0,,25000.0,38438.0,33068.0,325.0,118.0,0.0,8.0,16.0,12.0,9.0,6.0,7.0,2.0,24.0,0.0,4.0,0.0,20.0,30.0,17.0,0.0,16.0,13.0,23.0,630.0,5.0,4.0,6.0,0.0,9.0,43.0,602.0,587.0,8.992248062015506,0.9538682789276696,19.224806201550386,52.86821705426357,0.7751937984496124,3.4108527131782944,0.046511627906976744,1.4771212547196624,-1.3324384599156054,746.11,0.8644837892535953,-0.06324314617689467,2.8095597146352675
7919,32009,esmeralda,32,NV,WECC,comm,,0.726848935378396,0.8972957738024329,0.8120723545904144,33441.52033277243,41283.59195917826,37362.556145975344,159.67196319677208,197.11520619702577,178.39358469689893,0.0,0.0,0.0,0.0,0.0,0.0,2.203228665055943,0.1933074614973027,-0.7137513822644395,386.6149229946056,2.587278613399542,,,4.52428601329822,40.486102097787445,1.607305965977838,,,2.2947201286565373,0.2386382641610481,-0.622259918663845,477.2765283220963,2.678770077000136,,,4.615777476898814,49.98013554379934,1.6987974295784325,,,2.25137923243454,0.2159728628291754,-0.6656008148858422,431.9457256583509,2.635429180778139,,,4.5724365806768175,45.23311882079339,1.655456533356435,,,,,,"Esmeralda County, Nevada",1030.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,3.0,88.0,88.0,0.0,0.0,7.0,178.0,239.0,319.0,113.0,36.0,98.0,135.0,3.0,515.0,78.0,33.0,40.0,46.0,45.0,54.0,13.0,29.0,12.0,24.0,30.0,55.0,44.0,2.0,8.0,2.0,31845.0,406.0,394.0,12.0,26726.0,26875.0,61250.0,21406.0,,,5417.0,,87917.0,,,,35833.0,,,26985.0,,,20179.0,14071.0,,394.0,48.0,81.0,33.0,5.0,3.0,27.0,0.0,9.0,3.0,0.0,3.0,16.0,0.0,0.0,47.0,3.0,0.0,21.0,88.0,7.0,1000.0,16.0,15.0,0.0,0.0,0.0,263.0,767.0,736.0,28.543689320388353,1.4555101057069852,40.48543689320388,45.43689320388349,1.1650485436893203,13.106796116504855,0.09514563106796116,1.9912260756924949,-1.0216111490126774,3581.88,0.2875584888382637,-0.541273807335255,3.012837224705172
