,FIPS,MSA,unemp_qual_status_21,ffe_qual_status_21,ec_ffe_status_21,unemp_qual_status_22,ffe_qual_status_22,ec_ffe_status_22
2151,39067,3900003,1.0,1.0,1.0,1.0,1.0,1.0
2152,39069,3900001,0.0,1.0,0.0,0.0,1.0,0.0
2153,39071,3900004,1.0,1.0,1.0,1.0,1.0,1.0
2154,39073,18140,0.0,0.0,0.0,0.0,0.0,0.0
2155,39075,3900002,0.0,1.0,0.0,1.0,1.0,1.0
2157,39077,3900002,0.0,1.0,0.0,1.0,1.0,1.0
2158,39079,3900004,1.0,1.0,1.0,1.0,1.0,1.0
2159,39081,48260,1.0,1.0,1.0,1.0,1.0,1.0
2160,39083,3900002,0.0,1.0,0.0,1.0,1.0,1.0
2161,39085,17460,1.0,0.0,0.0,1.0,0.0,0.0
2162,39087,26580,0.0,1.0,0.0,1.0,1.0,1.0
2163,39089,18140,0.0,0.0,0.0,0.0,0.0,0.0
2164,39091,3900001,0.0,1.0,0.0,0.0,1.0,0.0
2165,39093,17460,1.0,0.0,0.0,1.0,0.0,0.0
2166,39095,45780,1.0,1.0,1.0,1.0,1.0,1.0
2167,39097,18140,0.0,0.0,0.0,0.0,0.0,0.0
2168,39099,49660,1.0,1.0,1.0,1.0,1.0,1.0
2169,39101,3900002,0.0,1.0,0.0,1.0,1.0,1.0
2170,39103,17460,1.0,0.0,0.0,1.0,0.0,0.0
2171,39105,3900004,1.0,1.0,1.0,1.0,1.0,1.0
2172,39107,3900001,0.0,1.0,0.0,0.0,1.0,0.0
2173,39109,19380,0.0,0.0,0.0,1.0,0.0,0.0
2174,39111,3900003,1.0,1.0,1.0,1.0,1.0,1.0
2175,39113,19380,0.0,0.0,0.0,1.0,0.0,0.0
2176,39115,3900003,1.0,1.0,1.0,1.0,1.0,1.0
2177,39117,18140,0.0,0.0,0.0,0.0,0.0,0.0
2178,39119,3900003,1.0,1.0,1.0,1.0,1.0,1.0
2179,39121,3900003,1.0,1.0,1.0,1.0,1.0,1.0
2180,39123,3900002,0.0,1.0,0.0,1.0,1.0,1.0
2181,39125,3900001,0.0,1.0,0.0,0.0,1.0,0.0
2182,39127,18140,0.0,0.0,0.0,0.0,0.0,0.0
2183,39129,18140,0.0,0.0,0.0,0.0,0.0,0.0
