,FIPS,County,State,ag,cn,coal,comm,mf,mn_rest,og,pwr,TOTAL,prop_ag,prop_cn,prop_comm,prop_mf,prop_mn_rest,prop_pwr,prop_og,prop_coal,ECF,ECF_log10,biggest_sector,biggest_sector_full
0,01001,autauga,AL,6200.59600905464,8362.38247447697,0.0,38751.606046642686,863439.6908791121,2675.35282943455,0.0,655451.2396632419,1574880.8679019627,0.003937184161310562,0.005309850824219634,0.02460605550327569,0.5482571466052388,0.0016987652107290014,0.4161909976952264,0.0,0.0,116.45571517399644,2.0661608068047816,mf,Manufacturing
1,01085,lowndes,AL,10225.008684954228,1491.7558156841817,0.0,1602.2833256821325,396715.7556583232,9961.06816092272,0.0,39003.15467584498,458999.0263214114,0.022276754630399204,0.0032500195646157828,0.003490820750805129,0.8643063120149742,0.021701719589155597,0.08497437345005007,0.0,0.0,181.4760923921036,2.258819419311097,mf,Manufacturing
2,02201,prince of wales ketchikan,AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.759195770996,407.759195770996,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2007.6044723700627,3.302678154495313,pwr,Fossil fuel power generation
3,02232,skagway hoonah angoon,AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.8577769369548,376.8577769369548,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2007.6044723700627,3.302678154495313,pwr,Fossil fuel power generation
4,02261,valdez cordova,AK,0.0,2250.7022047108326,0.0,3177.1009831745296,71009.97628758366,565.7510783600209,0.0,2476.6577213341675,79480.18827516321,0.0,0.02831777646171172,0.0399734959380732,0.8934298952808796,0.0071181396350166,0.031160692684318907,0.0,0.0,2007.6044723700627,3.302678154495313,mf,Manufacturing
5,05081,little river,AR,11383.650126155098,856.8150380837861,0.0,6664.820874300998,1124880.7601618115,589.8654752783068,0.0,45804.88078074039,1190180.79245637,0.009564639421428408,0.0007199032647094205,0.005599839046760048,0.9451343588230925,0.0004956099770866789,0.038485649466922914,0.0,0.0,338.7868858331642,2.5299265907952617,mf,Manufacturing
6,06091,sierra,CA,1588.8836414463672,789.2524968249969,0.0,434.6852978460336,0.0,84986.40029492661,0.0,0.0,87799.22173104402,0.01809678502975352,0.00898928807413259,0.0049509014917877995,0.0,0.967963025404326,0.0,0.0,0.0,160.58490045627144,2.2057047068404607,mn_rest,Mining (excl. fossil fuel extraction)
7,08017,cheyenne,CO,28537.620043107047,644.4799221214043,0.0,1261.611481174201,0.0,4178.575397746929,58145.19852487501,0.0,92767.4853690246,0.30762524099457655,0.006947260880875387,0.013599716281578304,0.0,0.0450435341771393,0.0,0.6267842476658304,0.0,143.55180108188137,2.157008645770285,og,Oil & gas extraction
8,08079,mineral,CO,396.9999956785121,677.5136095233865,0.0,593.8276990753837,723.8306903134796,62089.9245805951,0.0,0.0,64482.09657518586,0.006156747636386353,0.010507003424328929,0.009209187210328732,0.011225297078693712,0.9629017646502623,0.0,0.0,0.0,137.23676583444225,2.137470474781938,mn_rest,Mining (excl. fossil fuel extraction)
9,12107,putnam,FL,15406.435430630663,11195.351213679129,0.0,64896.65827643767,1370747.888899006,1993.622901984089,0.0,1409901.9438781645,2874141.900599902,0.005360360053000505,0.0038951978019395603,0.02257948999069677,0.4769242216652205,0.0006936410834718955,0.4905470894056707,0.0,0.0,161.6176506448368,2.20848878935349,NA,NA (no majority sector)
